model,top1_accuracy,top5_accuracy,test_loss,n_params,eval_time_sec
resnet50_best,0.7186744908526062,0.9357956506731101,1.053603423024442,23917832,733.6
resnet50_fraction_10,0.05108733172247152,0.13945460821539524,5.130936332929122,23917832,968.2
resnet50_fraction_25,0.23472557818432863,0.4887814981014843,3.6532112286343508,23917832,837.7
resnet50_fraction_50,0.48740075940628236,0.8111839834311356,2.094745202643895,23917832,891.6
vit_pretrained_best,0.09941318605453918,0.2537107352433552,4.65231967342694,21742664,935.8
vit_pretrained_patch32_best,0.5384880911287538,0.835001725923369,1.8115463941970447,22570952,358.4
vit_scratch_best,0.010700724887814981,0.04746289264756645,5.17616519690959,11095880,573.6
vit_scratch_fraction_10,0.010873317224715223,0.044701415257162584,5.373323363520418,11095880,479.2
vit_scratch_fraction_25,0.009665170866413532,0.04884363134276838,5.286252153631651,11095880,510.1
vit_scratch_fraction_50,0.021574042112530202,0.07076285812909906,5.122305611309859,11095880,506.1
vit_scratch_patch16_noaug_best,0.021401449775629963,0.09043838453572661,5.022151223618201,11095880,502.9
vit_scratch_patch32_best,0.02002071108042803,0.08457024508111839,5.069652386521486,11924168,218.1
